request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_210,1023.16,affordable_with_plan,partial_payment,2026-04-06:1023.16|2026-04-15:336.86,2026-04-15,none,Pay USD 1360.02 today. This keeps the USD 2000 minimum protected over the next 90 days.
request_211,405.13,affordable_later,wait,2024-11-15:1788.60,2024-11-15,none,Pay EUR 1788.60 today. This keeps the EUR 1500 minimum protected over the next 90 days.
request_212,6575125.51,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the IDR 29579800 minimum protected.
request_213,2372.43,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the USD 2100 minimum protected.
request_214,54166.53,affordable_with_plan,partial_payment,2024-12-04:54166.53|2024-12-15:15583.47,2024-12-15,none,Pay INR 69750 today. This keeps the INR 174900 minimum protected over the next 90 days.
request_215,27956.73,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the ZAR 15700 minimum protected.
request_216,676.80,affordable_later,wait,2026-09-15:3332.40,2026-09-15,none,Pay USD 3332.40 today. This keeps the USD 1800 minimum protected over the next 90 days.
request_217,21946.01,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-05-15,none,Pay ZAR 37180 today. This keeps the ZAR 26800 minimum protected over the next 90 days.
request_218,26682676.70,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-09-15,none,Pay IDR 61142000 today. This keeps the IDR 34477200 minimum protected over the next 90 days.
request_219,731.49,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,2026-05-15,none,Pay EUR 1673.10 today. This keeps the EUR 1100 minimum protected over the next 90 days.
request_220,110.85,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the EUR 1100 minimum protected.
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,Pay INR 109800 today. This keeps the INR 81500 minimum protected over the next 90 days.
request_222,34078,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,Pay ZAR 34078 today. This keeps the ZAR 27300 minimum protected over the next 90 days.
request_223,898.70,affordable_now,full_payment,2024-09-07:898.70,2024-09-07,none,Pay EUR 898.70 today. This keeps the EUR 800 minimum protected over the next 90 days.
request_224,9249340.52,affordable_with_plan,partial_payment,2025-02-04:9249340.52|2025-02-15:1077659.48,2025-02-15,none,Pay IDR 10327000 today. This keeps the IDR 22187600 minimum protected over the next 90 days.
request_225,10746053.93,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-09-15,none,Pay IDR 22059000 today. This keeps the IDR 17670700 minimum protected over the next 90 days.
request_226,157000,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,Pay INR 157000 today. This keeps the INR 209400 minimum protected over the next 90 days.
request_227,9689.76,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the INR 62900 minimum protected.
request_228,2143795.59,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the IDR 26191200 minimum protected.
request_229,466.84,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-05-15,none,Pay EUR 1526.80 today. This keeps the EUR 1000 minimum protected over the next 90 days.
request_230,3537.60,affordable_now,full_payment,2025-08-06:3537.60,2025-08-06,none,Pay EUR 3537.60 today. This keeps the EUR 2000 minimum protected over the next 90 days.
request_231,32404.11,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the ZAR 24300 minimum protected.
request_232,659.27,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the EUR 2400 minimum protected.
request_233,3974325.83,affordable_with_plan,partial_payment,2025-11-07:3974325.83|2025-12-15:2266674.17,2025-12-15,none,Pay IDR 6241000 today. This keeps the IDR 10365700 minimum protected over the next 90 days.
request_234,237.15,affordable_later,wait,2026-09-15:1213.30,2026-09-15,none,Pay EUR 1213.30 today. This keeps the EUR 700 minimum protected over the next 90 days.
request_235,967.20,affordable_now,full_payment,2024-09-06:967.20,2024-09-06,none,Pay USD 967.20 today. This keeps the USD 700 minimum protected over the next 90 days.
request_236,6514188.61,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the IDR 16768600 minimum protected.
request_237,21020791.65,affordable_with_plan,full_payment,2026-04-05:23826000,,reduce_to:event_21813:548720,Pay IDR 23826000 today with spending change reduce_to:event_21813:548720. This keeps the IDR 22431500 minimum protected.
request_238,663.60,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,Pay USD 663.60 today. This keeps the USD 700 minimum protected over the next 90 days.
request_239,642,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,Pay USD 642 today. This keeps the USD 600 minimum protected over the next 90 days.
request_240,13166.61,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the INR 52800 minimum protected.
request_241,21052000,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the IDR 19252000 minimum protected.
request_242,0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the EUR 600 minimum protected.
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,Pay ZAR 17468 today. This keeps the ZAR 19900 minimum protected over the next 90 days.
request_244,49918,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,Pay ZAR 49918 today. This keeps the ZAR 45900 minimum protected over the next 90 days.
request_245,36555.71,affordable_later,wait,2026-01-15:128500,2026-01-15,none,Pay INR 128500 today. This keeps the INR 94600 minimum protected over the next 90 days.
request_246,64086,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,Pay ZAR 64086 today. This keeps the ZAR 39300 minimum protected over the next 90 days.
request_247,1059.30,affordable_now,full_payment,2024-09-05:1059.30,2024-09-05,none,Pay EUR 1059.30 today. This keeps the EUR 1300 minimum protected over the next 90 days.
request_248,398.06,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the USD 1300 minimum protected.
request_249,163.11,affordable_later,wait,2026-03-15:643.20,2026-03-15,none,Pay USD 643.20 today. This keeps the USD 600 minimum protected over the next 90 days.
request_250,17489.24,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the ZAR 35300 minimum protected.
request_251,147.01,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the EUR 1300 minimum protected.
request_252,5261609.78,affordable_later,wait,2026-09-15:28082000,2026-09-15,none,Pay IDR 28082000 today. This keeps the IDR 15152200 minimum protected over the next 90 days.
request_253,1369.38,affordable_with_plan,installments,2024-03-21:984.60|2024-04-21:984.60|2024-05-22:984.60,2024-05-15,none,Pay EUR 2840.20 today. This keeps the EUR 2300 minimum protected over the next 90 days.
request_254,615.59,affordable_later,wait,2025-10-15:3535.20,2025-10-15,none,Pay USD 3535.20 today. This keeps the USD 2500 minimum protected over the next 90 days.
request_255,26586.56,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the IDR 9813900 minimum protected.
request_256,164057.33,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the INR 168600 minimum protected.
request_257,509.26,affordable_later,wait,2026-01-15:1352.40,2026-01-15,none,Pay USD 1352.40 today. This keeps the USD 1600 minimum protected over the next 90 days.
request_258,1113.60,affordable_now,full_payment,2026-01-07:1113.60,2026-01-07,none,Pay USD 1113.60 today. This keeps the USD 500 minimum protected over the next 90 days.
request_259,217.19,affordable_later,wait,2024-11-15:935,2024-11-15,none,Pay EUR 935 today. This keeps the EUR 600 minimum protected over the next 90 days.
request_260,7972671.33,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the IDR 20727700 minimum protected.
request_261,1830.40,affordable_now,full_payment,2026-07-03:1830.40,2026-07-03,none,Pay EUR 1830.40 today. This keeps the EUR 1500 minimum protected over the next 90 days.
request_262,9236000,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,Pay IDR 9236000 today. This keeps the IDR 31018500 minimum protected over the next 90 days.
request_263,8422.45,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the ZAR 24100 minimum protected.
request_264,19860.86,affordable_later,wait,2026-06-15:111300,2026-06-15,none,Pay INR 111300 today. This keeps the INR 59500 minimum protected over the next 90 days.
request_265,0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the INR 189700 minimum protected.
request_266,793,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-09-15,none,Pay EUR 935 today. This keeps the EUR 900 minimum protected over the next 90 days.
request_267,1667.62,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-02-15,none,Pay EUR 1925 today. This keeps the EUR 1500 minimum protected over the next 90 days.
request_268,1045,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-15,none,Pay EUR 2426.60 today. This keeps the EUR 1400 minimum protected over the next 90 days.
request_269,0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the ZAR 23100 minimum protected.
request_270,270.63,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the USD 1400 minimum protected.
request_271,20300.69,affordable_later,wait,2024-11-15:91300,2024-11-15,none,Pay INR 91300 today. This keeps the INR 58200 minimum protected over the next 90 days.
request_272,5371180.85,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-03-15,none,Pay IDR 13585000 today. This keeps the IDR 7508600 minimum protected over the next 90 days.
request_273,10361026.54,affordable_with_plan,partial_payment,2026-04-07:10361026.54|2026-04-15:5499973.46,2026-04-15,none,Pay IDR 15861000 today. This keeps the IDR 18774600 minimum protected over the next 90 days.
request_274,2414.30,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2025-01-15,none,Pay EUR 2713.70 today. This keeps the EUR 1800 minimum protected over the next 90 days.
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,Pay IDR 15884000 today. This keeps the IDR 12760100 minimum protected over the next 90 days.
